"","Date.Lost","Species","NumberBirds","Region","Longitude","Latitude","TrapChecked","TrapName"
"1","01-11-2016","Domestic duck",1,"Taranaki",174.0288633,-39.1840405,"Y",1
"2","25-09-2013","Muscovy duck",1,"Canterbury",172.6362254,-43.5320544,"Y",2
"3","13-10-2013","Goose spp",1,"Canterbury",171.3447579,-44.2412916,"Y",3
"4","05-03-2015","Domestic pigeon",1,"Auckland",174.5425402,-36.8504238,"Y",4
"5","25-04-2016","Domestic pigeon",2,"Wellington",174.7941082,-41.2913069,"Y",5
"6","26-06-2015","Domestic pigeon",8,"Canterbury",172.6362254,-43.5320544,"Y",6
"7","15-05-2013","Barbary dove",1,"Otago",170.5027976,-45.8787605,"Y",7
"8","05-05-2015","Barbary dove",1,"Auckland",174.6349155,-36.8612427,"Y",8
"9","14-05-2015","Barbary dove",1,"Otago",170.5027976,-45.8787605,"Y",9
"10","27-06-2016","Barbary dove",1,"Otago",170.5027976,-45.8787605,"Y",10
"11","06-11-2013","Barbary dove",1,"Waikato",175.279253,-37.7870012,"Y",11
"12","01-03-2014","Barbary dove",1,"Waikato",175.2902973,-37.8260216,"Y",12
"13","27-07-2015","Barbary dove",1,"Waikato",175.2732825,-37.8221774,"Y",13
"14","16-12-2015","Barbary dove",1,"Waikato",175.279253,-37.7870012,"Y",14
"15","04-06-2016","Barbary dove",1,"Waikato",175.689634,-37.5472031,"Y",15
"16","20-07-2016","Barbary dove",1,"Manawatu",175.4375574,-39.7273356,"Y",16
"17","14-08-2016","Barbary dove",1,"Hawkes Bay",176.9120178,-39.4928444,"Y",17
"18","19-06-2016","Dove spp",1,"Canterbury",172.6362254,-43.5320544,"Y",18
"19","04-07-2013","Red-throated parrotfinch",1,"Auckland",174.7633315,-36.8484597,"Y",19
"20","04-07-2013","Red-throated parrotfinch",1,"Auckland",174.7633315,-36.8484597,"Y",20
"21","05-01-2016","Bengalese finch",1,"Auckland",174.7800541,-36.8129703,"Y",21
"22","26-03-2017","Zebra finch",1,"Wellington",174.7942879,-41.3040762,"Y",22
"23","30-05-2014","Domestic canary",1,"Waikato",175.257479,-37.7750949,"Y",23
"24","20-09-2013","Domestic canary",1,"Canterbury",172.5088051,-43.5127278,"Y",24
"25","20-09-2013","Domestic canary",1,"Canterbury",172.5088051,-43.5127278,"Y",25
"26","26-10-2013","Domestic canary",1,"Auckland",174.7744317,-36.8918437,"Y",26
"27","28-10-2013","Domestic canary",1,"Manawatu",175.6082145,-40.3523065,"Y",27
"28","08-12-2013","Domestic canary",1,"Canterbury",172.6362254,-43.5320544,"Y",28
"29","17-01-2014","Domestic canary",1,"Canterbury",172.6362254,-43.5320544,"Y",29
"30","07-02-2014","Domestic canary",1,"Otago",170.5027976,-45.8787605,"Y",30
"31","03-05-2014","Domestic canary",1,"Auckland",174.87266,-36.9941017,"Y",31
"32","21-06-2014","Domestic canary",8,"Auckland",174.9436176,-37.0677049,"Y",32
"33","04-08-2014","Domestic canary",1,"Canterbury",172.6362254,-43.5320544,"Y",33
"34","12-10-2014","Domestic canary",12,"Canterbury",172.6362254,-43.5320544,"Y",34
"35","09-11-2014","Domestic canary",1,"Canterbury",171.2549729,-44.3969718,"Y",35
"36","04-12-2014","Domestic canary",4,"Rodney",174.693298,-36.5850808,"Y",36
"37","21-12-2014","Domestic canary",1,"Canterbury",172.6569578,-43.3830321,"Y",37
"38","30-12-2014","Domestic canary",1,"Manawatu",175.6082145,-40.3523065,"Y",38
"39","14-01-2015","Domestic canary",1,"Auckland",174.6764514,-36.9311652,"Y",39
"40","16-01-2015","Domestic canary",1,"Canterbury",172.6362254,-43.5320544,"Y",40
"41","03-02-2015","Domestic canary",1,"Auckland",174.7633315,-36.8484597,"Y",41
"42","21-03-2015","Domestic canary",8,"Auckland",174.5588019,-36.7772623,"Y",42
"43","03-04-2015","Domestic canary",1,"Waikato",175.279253,-37.7870012,"Y",43
"44","22-04-2015","Domestic canary",1,"Auckland",174.7279442,-36.8786045,"Y",44
"45","06-05-2015","Domestic canary",1,"Auckland",174.7633315,-36.8484597,"Y",45
"46","17-05-2015","Domestic canary",1,"Canterbury",172.5957246,-43.303356,"Y",46
"47","18-06-2015","Domestic canary",1,"Bay of Plenty",176.1651295,-37.6877975,"Y",47
"48","18-09-2015","Domestic canary",2,"Wellington",174.9417592,-41.1918331,"Y",48
"49","27-09-2015","Domestic canary",1,"Auckland",174.6999997,-36.9233601,"Y",49
"50","05-10-2015","Domestic canary",3,"Wellington",174.776236,-41.2864603,"Y",50
"51","14-10-2015","Domestic canary",1,"Canterbury",172.6362254,-43.5320544,"Y",51
"52","18-10-2015","Domestic canary",1,"Auckland",174.7901969,-36.8142846,"Y",52
"53","21-12-2015","Domestic canary",4,"Bay of Plenty",176.2497461,-38.1368478,"Y",53
"54","22-01-2016","Domestic canary",1,"Auckland",174.6677817,-36.6710411,"Y",54
"55","05-01-2016","Domestic canary",1,"Auckland",174.7633315,-36.8484597,"Y",55
"56","09-02-2016","Domestic canary",1,"Canterbury",172.3311949,-43.5043033,"Y",56
"57","10-03-2016","Domestic canary",2,"Wellington",174.7408745,-41.2837551,"Y",57
"58","04-06-2016","Domestic canary",1,"Auckland",174.8471453,-36.9094442,"Y",58
"59","03-10-2016","Domestic canary",1,"Canterbury",172.5957246,-43.303356,"Y",59
"60","09-10-2016","Domestic canary",1,"Canterbury",172.5957246,-43.303356,"Y",60
"61","01-11-2016","Domestic canary",1,"Bay of Plenty",176.1651295,-37.6877975,"Y",61
"62","03-11-2016","Domestic canary",1,"Auckland",174.8387404,-36.9084854,"Y",62
"63","29-11-2016","Domestic canary",20,"Canterbury",172.6362254,-43.5320544,"Y",63
